generation,params,T,target_distance,dead,convexity
1,"[10.0, 7.661567503300045, 0.6389340990610964, 5.3213303933641525, 5.130323910484378, 3.0, 10.0, 9.609825873056018, 1e-06, 1e-06, 1.2397673342980777, 10.0, 7.136130481333453, 10.0, 3.7323811306144736, 3.4155981828727313, 3.544358948347382]","[1229.0, 3000.0, 3000.0]","[42.48323800079307, 129.38210121779878, 379.84717678027476]","[0.0, 1.0, 1.0]","[0.0, 0.6058113719655353, 0.31685576775314295]"
1,"[10.0, 5.97184520824065, 10.0, 0.0, 10.0, 3.0, 4.905705764928761, 5.811623243205938, 0.4050911713005817, 1e-06, 10.0, 0.3995956930201154, 3.0425423471327693, 10.0, 1.0, 4.575892877254763, 1.0]","[622.0, 3000.0, 3000.0]","[44.70731826961107, 122.10233699236105, 375.8439463934894]","[0.0, 1.0, 1.0]","[0.0, 0.33294909468618766, 0.1625599584553725]"
1,"[10.0, 1.8921581689504148, 9.039651194508746, 0.0, 5.4028787423054885, 3.0, 2.859391085548281, 7.24133585281472, 0.5002653539300554, 1e-06, 10.0, 0.3995956930201154, 3.0, 4.084719465392673, 1.0, 2.0, 1.0]","[1167.0, 3000.0, 3000.0]","[42.57026328510589, 128.7566204210013, 355.3883455392406]","[0.0, 1.0, 1.0]","[0.0, 0.45791986830034087, 0.28410796627998325]"
1,"[6.801265849207587, 5.467014400788628, 5.175908915790982, 0.0, 10.0, 3.0, 0.4909575097838992, 6.334537241996668, 1e-06, 1e-06, 5.575163094598687, 1e-06, 3.0, 10.0, 1.0851715967226223, 6.400745787508124, 1.0]","[622.0, 3000.0, 3000.0]","[44.70731826961107, 122.46600139325261, 361.9931530371856]","[0.0, 1.0, 1.0]","[0.0, 0.3290416755600001, 0.1653395465309254]"
1,"[2.10696199816968, 3.308039514809283, 5.747213901989997, 1.7648552556634176, 3.0, 4.0405557898050315, 0.0, 10.0, 0.5362652059591881, 1e-06, 1.020872018034181, 8.82952147544667, 3.0, 7.183005399519179, 5.655833200118121, 6.301177842670403, 3.8695360231632803]","[2758.0, 3000.0, 3000.0]","[42.46185276273457, 191.07837042499096, 402.052172037167]","[0.0, 1.0, 0.9333333333333333]","[0.0, 1.0287902125200887, 0.6261689716246986]"
1,"[0.7436217909757872, 10.0, 8.096876751388836, 6.407234700889096, 4.501628746948428, 5.696895434920407, 6.654173582983737, 3.9895394642176427, 0.6910028754108174, 1e-06, 0.2866029976928761, 10.0, 7.618599263304321, 4.490012606245041, 7.491415847445181, 4.490012606245041, 5.8780513334114906]","[2609.0, 3000.0, 3000.0]","[42.051641309020894, 167.79875889492263, 408.1710138692874]","[0.0, 0.6, 0.8666666666666667]","[0.0, 1.4810419582776801, 1.2297437193217022]"
1,"[10.0, 8.043571080836719, 10.0, 0.0, 10.0, 4.835847386951668, 0.0, 5.906692300599302, 0.5840284085373456, 1e-06, 9.39739360746762, 1e-06, 3.693734563946539, 10.0, 1.0, 2.2426625742878845, 1.0]","[1034.0, 3000.0, 3000.0]","[41.36153802679155, 126.61043834063578, 366.60064414318975]","[0.0, 1.0, 1.0]","[0.0, 0.5543673538517555, 0.2427874574798936]"
1,"[1.0, 1.7607860272469533, 0.0, 10.0, 7.650447694308658, 6.9819534028888555, 10.0, 2.937590637599604, 0.8643496412213061, 1e-06, 1.5423466532791412, 10.0, 5.741623477134684, 7.426717637535278, 9.6830121065366, 7.426717637535278, 5.566675452049013]","[1924.0, 3000.0, 3000.0]","[41.18683763339177, 134.4047384300064, 377.7509232728228]","[0.0, 0.6, 1.0]","[0.0, 1.8698119940192404, 0.7768793684613482]"
1,"[6.021736968738527, 4.595751248360843, 0.0, 10.0, 3.0, 3.0, 6.696356427271086, 6.61201906429284, 1e-06, 1e-06, 5.345260471328757, 4.826466171693117, 9.564512818787751, 7.465710334714651, 4.548731634402204, 7.465710334714651, 1.0]","[2078.0, 3000.0, 3000.0]","[42.281909640501496, 257.8647513546883, 447.5800746192724]","[0.0, 1.0, 1.0]","[0.0, 0.02139354465198959, 0.01467880218095341]"
1,"[10.0, 1.0537907536790267, 10.0, 3.6560000847860374, 10.0, 4.619602849154632, 4.68019503799968, 7.129808960523222, 0.16268523252087816, 1e-06, 8.489785676093744, 1e-06, 7.592872959385354, 6.512403902147762, 1.0, 6.379895638533032, 1.0]","[986.0, 3000.0, 3000.0]","[41.549497599464424, 198.80595540179493, 366.56093660679755]","[0.0, 1.0, 1.0]","[0.0, 0.3866528269821338, 0.2518457874864191]"
1,"[0.0, 0.5796377999809774, 8.706149368407702, 10.0, 10.0, 4.148964548324254, 0.0, 9.41908391498656, 0.4090562367030204, 1e-06, 1.7458964071261525, 1.7964327510467475, 3.0, 10.0, 9.943116800124711, 10.0, 4.6584871255674125]","[881.0, 3000.0, 3000.0]","[42.080353723438066, 173.1942729774854, 389.74834269215904]","[0.0, 1.0, 1.0]","[0.0, 0.475023780170823, 0.26171897537096883]"
1,"[10.0, 7.98678290144454, 10.0, 0.0, 10.0, 3.0, 4.119004443533024, 0.33228098624501723, 0.6321057009810932, 1e-06, 8.283365352155139, 4.231657957382218, 3.0, 10.0, 1.501435017927255, 10.0, 1.501435017927255]","[622.0, 3000.0, 3000.0]","[44.70731826961107, 211.54165330460393, 430.541970255456]","[0.0, 1.0, 1.0]","[0.0, 0.377741344785377, 0.023234521914548577]"
1,"[5.0657669736970306, 9.509128071460548, 7.833086501484839, 0.38026753452336537, 10.0, 10.0, 4.877110329763785, 2.5152143248173626, 0.23070852172417014, 1e-06, 7.072177544749937, 0.8449975817148673, 3.963079209608562, 10.0, 5.288564005635623, 6.817443967330114, 1.0752501269712902]","[2102.0, 3000.0, 3000.0]","[41.147876524734784, 205.4803787971379, 378.9222672283371]","[0.0, 1.0, 1.0]","[0.0, 0.9357143563505441, 0.5318748475963417]"
1,"[5.272736128703907, 1.4510621049265247, 5.998135190348424, 6.6270602309111695, 10.0, 3.0, 7.801427206414269, 0.2836026334190952, 0.10648103329748215, 1e-06, 1.6115742045033592, 8.597080647414789, 7.22960782225364, 9.237385975006001, 1.501435017927255, 9.237385975006001, 1.501435017927255]","[622.0, 3000.0, 3000.0]","[44.70731826961107, 200.60123559966252, 395.0472251901834]","[0.0, 1.0, 1.0]","[0.0, 0.3325965410154603, 0.14418891464911326]"
1,"[4.229827535697938, 3.562376167505199, 10.0, 2.1521974743997503, 8.185971429066777, 8.131416979532286, 0.0, 5.859378936584148, 0.999999, 1e-06, 1.3049003085115545, 1e-06, 3.0, 2.0, 9.64108599506218, 2.0, 1.3927028223447566]","[2086.0, 3000.0, 3000.0]","[41.25319620377398, 153.4699309638347, 383.28132441194634]","[0.0, 1.0, 1.0]","[0.0, 0.7479229998190842, 0.39914508363841195]"
1,"[1.1370262509574625, 2.4295160044434256, 0.0, 4.390052572644309, 10.0, 10.0, 10.0, 1.8565098454813591, 0.14346400364045975, 1e-06, 1e-06, 6.035963321275258, 5.43512261639503, 10.0, 10.0, 6.678526402197215, 7.152160654553391]","[2102.0, 3000.0, 3000.0]","[41.147876524734784, 204.13862735141868, 377.78369063583165]","[0.0, 1.0, 1.0]","[0.0, 1.0220936154496558, 0.5219353146990071]"
1,"[0.0, 9.857450866268982, 7.003194894451437, 5.385628741127254, 8.734837956540913, 6.6195871692870645, 3.6907372962305067, 10.0, 1e-06, 1e-06, 6.049628941872038, 10.0, 10.0, 8.99261529557902, 7.018776683771076, 7.093081245989914, 1.0470284713399454]","[1612.0, 3000.0, 3000.0]","[40.94207690084729, 135.41579661726107, 375.55874026496696]","[0.0, 1.0, 1.0]","[0.0, 0.9233829592811184, 0.41712202776838836]"
1,"[0.0, 5.517501801501649, 0.0, 9.280038354196341, 3.4254515056669614, 6.532478883996052, 10.0, 3.755094789467998, 0.4378127497965839, 1e-06, 6.338791636291947, 8.715866394074691, 7.447908096787, 8.261370475347869, 10.0, 8.261370475347869, 8.093053594549135]","[3000.0, 3000.0, 3000.0]","[53.58382063447815, 213.7355808568371, 394.60725315145805]","[0.0, 0.6, 0.8666666666666667]","[0.0, 2.550568470610169, 1.5124716279434682]"
1,"[8.436049590683602, 3.8968905480350102, 0.0, 10.0, 7.564275385747143, 7.200279532699931, 0.0, 7.224957331907533, 0.4985868909208832, 1e-06, 1e-06, 4.462131460810489, 4.788426000131373, 8.16459410672621, 2.911653549698568, 4.904743848461989, 1.0]","[2003.0, 3000.0, 3000.0]","[41.2324985050872, 139.7051172754666, 361.71647346282083]","[0.0, 1.0, 1.0]","[0.0, 1.0406483596404124, 0.49738833226429424]"
1,"[1.914924111191569, 0.13102736640346135, 7.209332330419964, 8.35665530182555, 3.0, 3.0, 10.0, 1.8042857082620918, 0.999999, 1e-06, 10.0, 10.0, 6.11180680794058, 3.4631476417330713, 5.548478538636859, 3.4631476417330713, 2.1851605424225395]","[2078.0, 2489.0, 3000.0]","[42.281909640501496, 232.63055557931645, 455.44961044614683]","[0.0, 0.8, 1.0]","[0.0, 0.11636208956249647, 0.010364137938245506]"
1,"[2.8274203712513764, 10.0, 4.695176443113719, 2.2166012590068394, 3.293218711536076, 3.0, 0.0, 3.0993354354289147, 0.8109412638632583, 1e-06, 9.681329035219425, 5.008458005810813, 3.0, 2.0, 1.0, 2.0, 1.0]","[1900.0, 3000.0, 3000.0]","[42.22050217722429, 208.53597058325855, 429.3121709847849]","[0.0, 1.0, 1.0]","[0.0, 0.4312385863928873, 0.11338650547701076]"
2,"[0.0, 1.8229074605836217, 3.6611166640701143, 10.0, 8.23667177447796, 6.21207301071487, 10.0, 3.026352613841911, 0.5764208169951088, 1e-06, 1e-06, 10.0, 9.14540868242749, 8.266496641545677, 10.0, 8.266496641545677, 8.966217655052452]","[1604.0, 3000.0, 3000.0]","[40.987530326568724, 155.19310407329885, 358.36698785540733]","[0.0, 0.4, 0.5333333333333333]","[0.0, 1.6019880743522166, 0.8120096116948533]"
2,"[0.0, 2.8711510392538235, 0.0, 10.0, 5.637188392549607, 8.02501388570948, 10.0, 6.460451468321843, 0.3072814718832654, 1e-06, 1e-06, 8.095250603516924, 10.0, 6.2673895531939205, 10.0, 2.1672777053052794, 5.166623335808332]","[2911.0, 3000.0, 3000.0]","[42.24100692648302, 157.5229640263369, 365.4150102372216]","[0.0, 0.8, 1.0]","[0.0, 1.6518247515354207, 1.0059398044755803]"
2,"[4.070587265739324, 10.0, 2.3894551049065775, 10.0, 6.739149689399296, 4.530772106203595, 8.718335365843696, 1.4138612782897373, 1e-06, 1e-06, 6.485549954769597, 1e-06, 9.166538305380437, 10.0, 4.864776464300153, 6.47323331760202, 1.0]","[1428.0, 3000.0, 3000.0]","[41.35886536917469, 130.96900868451493, 378.34533932171433]","[0.0, 1.0, 1.0]","[0.0, 0.8017899706187048, 0.3363326377741724]"
2,"[1.1451519963800183, 10.0, 2.204193416522588, 10.0, 3.0, 6.672236568088237, 5.036303185230606, 3.9800703492440634, 1e-06, 1e-06, 0.30400735503735055, 2.173788037284444, 3.0, 10.0, 10.0, 10.0, 5.9359954585037205]","[3000.0, 3000.0, 3000.0]","[60.228415160612116, 184.9146633756065, 397.75810003758926]","[0.0, 0.0, 0.4666666666666667]","[0.0, 2.2245902830376307, 0.8899566370104651]"
2,"[1.652522768161085, 10.0, 1.3379926850250978, 5.255534136501087, 6.183622540942628, 3.0, 10.0, 0.7595477510576849, 0.3780658918378234, 1e-06, 7.676301358636078, 1e-06, 9.55481426445991, 7.851649603274947, 4.696202312240222, 2.0, 1.0]","[1018.0, 3000.0, 3000.0]","[42.890462377623535, 127.82693966457616, 363.4575110545805]","[0.0, 1.0, 1.0]","[0.0, 0.569001234065654, 0.25758788820963857]"
2,"[5.803001406177814, 9.432118144055924, 1.2171916989365203, 5.0099902684788304, 10.0, 6.263575543257673, 6.428654995256669, 7.078135465968828, 1e-06, 1e-06, 1e-06, 1e-06, 9.577207189018564, 10.0, 4.199753511979475, 10.0, 4.199753511979475]","[1341.0, 3000.0, 3000.0]","[40.83188916279252, 200.99189665512552, 398.2524777424905]","[0.0, 1.0, 1.0]","[0.0, 0.7898190333912798, 0.1705825721940687]"
