generation,params,T,target_distance,dead,convexity
2,"[6.062688728540721, 10.0, 0.0, 0.0, 8.196368388029555, 3.0, 4.832533254076284, 4.102884800852518, 1e-06, 1e-06, 10.0, 4.938283375107952, 9.145280318733239, 9.573684951911511, 1.0, 9.573684951911511, 1.0]","[763.0, 3000.0, 3000.0]","[43.84240695830764, 257.7927949091968, 446.07893174948464]","[0.0, 1.0, 1.0]","[0.0, 0.00715738827431007, 0.020521776548199387]"
2,"[10.0, 8.81755251377089, 7.889301584504826, 0.4975772303966073, 8.339142671242994, 6.225782743660213, 0.8591896953347344, 8.339912271878454, 0.8305076209691139, 1e-06, 4.790372764372665, 3.761455177221136, 3.0, 4.139979584581315, 3.212577839879735, 2.0, 1.461299263826362]","[1588.0, 3000.0, 3000.0]","[40.98678242229862, 196.1972187748078, 416.9613893658875]","[0.0, 1.0, 1.0]","[0.0, 0.4439626859033122, 0.14561582606215373]"
2,"[10.0, 8.239213972753047, 7.016225925129671, 0.0, 10.0, 3.0, 0.29986038736873866, 5.836844557072233, 0.5256256676836111, 1e-06, 10.0, 2.9818750415519526, 9.769641426285123, 9.573684951911511, 1.0, 2.592081268770607, 1.0]","[622.0, 3000.0, 3000.0]","[44.70731826961107, 261.2845723631021, 455.846020350125]","[0.0, 1.0, 1.0]","[0.0, 0.010954934937853059, 0.005950206986237364]"
2,"[8.412760166552134, 0.0, 2.1760596486043187, 3.7412665314927356, 9.745947888021957, 3.0, 9.621538055718723, 5.46343660092772, 0.999999, 1e-06, 4.697116617693614, 0.7692814312973795, 4.989961784240726, 6.622937541331219, 8.904854368498128, 2.0, 1.4443121168815836]","[638.0, 1187.0, 3000.0]","[44.63227510944851, 137.75611230950872, 407.4996205667413]","[0.0, 0.6, 1.0]","[0.0, 0.8492871007984747, 0.11458670013668136]"
2,"[7.190213661012153, 4.682732526337635, 10.0, 0.0, 10.0, 3.5615351228877077, 0.0, 10.0, 0.3262567199299968, 1e-06, 7.844887036492094, 1e-06, 3.0, 10.0, 7.177536845002814, 3.4721037038091396, 6.604241180761242]","[748.0, 3000.0, 3000.0]","[43.14998690638316, 153.4546029164758, 382.29310698139716]","[0.0, 1.0, 1.0]","[0.0, 0.32269174807714995, 0.19687075403586074]"
2,"[10.0, 0.0, 9.376428003764076, 7.139220465095871, 10.0, 6.502186437573959, 0.0, 10.0, 1e-06, 1e-06, 1e-06, 1e-06, 7.5714885496875866, 10.0, 10.0, 2.0, 1.0]","[1392.0, 1914.0, 3000.0]","[40.78397079005401, 151.29071341163305, 369.7285723356415]","[0.0, 0.8, 1.0]","[0.0, 1.2392443753383164, 0.4961838839597851]"
2,"[7.586047302722264, 0.0, 7.100371426054344, 5.930927790911001, 10.0, 5.903204469294192, 1.0895395450972059, 7.905219865213977, 0.999999, 1e-06, 4.604044461389918, 6.037398238714283, 3.0, 4.977571483783049, 3.1451834268799317, 2.0, 1.4151693374437257]","[1265.0, 3000.0, 3000.0]","[40.88293308647827, 194.57075632584622, 424.831025762321]","[0.0, 1.0, 1.0]","[0.0, 0.38996133777362424, 0.0965349881343107]"
2,"[8.77255938645096, 1.4214413815259066, 0.0, 2.6056241843513694, 5.01819879722488, 10.0, 4.69310829529012, 3.8241127175126906, 0.034463896168381025, 1e-06, 3.813278324810856, 1.3270251536712823, 7.587891997542521, 3.46741061216279, 5.953508916292855, 3.46741061216279, 5.86604097278293]","[3000.0, 3000.0, 3000.0]","[55.38703533704703, 222.44867314807996, 442.24444854979123]","[0.0, 1.0, 1.0]","[0.0, 0.5748067407201604, 0.2810593329388354]"
2,"[10.0, 0.0, 3.2634469233327774, 0.0, 10.0, 3.1688906542702595, 0.0, 2.119020203477344, 1e-06, 1e-06, 9.099985076149046, 3.0868163033852465, 4.220515719285865, 9.044213243566432, 1.0, 2.0, 1.0]","[659.0, 3000.0, 3000.0]","[44.21092491046116, 202.69264612719394, 440.95111240622776]","[0.0, 1.0, 1.0]","[0.0, 0.16879534804828222, 0.05476677002723394]"
2,"[10.0, 9.286232852580666, 10.0, 0.032384403053152155, 10.0, 4.2261920784372995, 0.0, 10.0, 1e-06, 1e-06, 6.172344403089789, 1e-06, 5.1040274202663705, 4.541967579055812, 2.7976048124935753, 2.2426625742878845, 1.0]","[898.0, 3000.0, 3000.0]","[41.99271574615376, 124.70043374475107, 364.5970437340291]","[0.0, 1.0, 1.0]","[0.0, 0.36092469350035217, 0.22081793867623783]"
2,"[6.906143117048391, 0.0, 7.310534536689464, 10.0, 8.535334669750133, 4.829948900511994, 8.215770427810817, 2.6753013488677033, 0.6704065808322344, 1e-06, 1e-06, 10.0, 9.3, 9.356163942472762, 10.0, 7.778434982116966, 2.678243150104844]","[1208.0, 2338.0, 3000.0]","[41.256761189016416, 134.66695262820204, 352.071984300121]","[0.0, 0.6, 1.0]","[0.0, 1.9369794500467605, 0.6613879495109765]"
2,"[6.192853362219423, 10.0, 4.380253065126906, 0.0, 7.629406972095202, 3.0, 10.0, 1.137650071389265, 0.7067648618923421, 1e-06, 10.0, 1e-06, 4.921625475054902, 8.387953284666356, 1.0, 2.0, 1.0]","[821.0, 3000.0, 3000.0]","[43.58177102019026, 124.45025802872796, 362.30647452183206]","[0.0, 1.0, 1.0]","[0.0, 0.4076868731808483, 0.20071676653565299]"
2,"[0.0, 9.876593392388362, 7.659106993839755, 10.0, 6.612434474418137, 10.0, 9.830277563922937, 0.0, 0.20827239950918253, 1e-06, 0.6227534811863455, 10.0, 4.9825347772369915, 2.474569859743875, 10.0, 2.474569859743875, 5.1977040614449335]","[3000.0, 3000.0, 3000.0]","[43.440692700778705, 201.04125855450417, 394.6838679187138]","[0.0, 0.8, 1.0]","[0.0, 0.6677237630137068, 0.5505860286145152]"
2,"[9.892459921570294, 3.57892839694588, 0.0, 0.0, 7.034576710193605, 7.626884185091355, 0.0, 1.1639061355534723, 0.04107428118021117, 1e-06, 9.129660075505118, 2.1512735443407456, 4.889969213260175, 2.0, 1.0, 2.0, 1.0]","[2263.0, 3000.0, 3000.0]","[41.493215237109986, 226.3639092080756, 441.35442907311153]","[0.0, 1.0, 1.0]","[0.0, 0.11301758548009301, 0.029332582854384923]"
2,"[9.149908733563027, 10.0, 7.837499861939277, 2.5306713266418734, 8.243989110428398, 6.251656604188051, 2.6328154023801815, 3.76931472832387, 0.7325151770055248, 1e-06, 3.9972323269592094, 1e-06, 3.0, 3.262286613560134, 4.164200734673113, 2.0, 1.529024378100523]","[1612.0, 3000.0, 3000.0]","[41.00045380192227, 133.15478224852384, 350.84462318081364]","[0.0, 1.0, 1.0]","[0.0, 0.6031782635859131, 0.3987695052850709]"
2,"[9.662900225671592, 5.589870953004336, 10.0, 3.365828356391139, 10.0, 3.6506331137173156, 10.0, 0.0, 0.999999, 1e-06, 7.959153928960612, 10.0, 7.476794479705713, 10.0, 3.5836070593136276, 10.0, 1.0]","[768.0, 3000.0, 3000.0]","[42.965314303007574, 262.77013185338376, 454.7729678081661]","[0.0, 1.0, 1.0]","[0.0, 0.006420912641208897, 0.019071700726326177]"
2,"[10.0, 7.514127733156611, 10.0, 0.8658419359109132, 8.501438041578075, 3.0, 8.769724514864368, 0.0, 0.6321057009810932, 1e-06, 7.1940514835592255, 7.622710855007929, 3.6145280318733235, 8.26250757658835, 1.501435017927255, 7.652186494116395, 1.501435017927255]","[735.0, 3000.0, 3000.0]","[43.98344194154874, 212.92748403538926, 444.2706460133823]","[0.0, 1.0, 1.0]","[0.0, 0.36385740550090057, 0.00900671507072937]"
2,"[10.0, 0.0, 0.0, 0.0, 10.0, 3.0, 3.6394875689326587, 0.0, 0.33078247643036374, 1e-06, 5.377336291309357, 1.4299579986594497, 7.120005859232468, 5.448862387481024, 4.137299842933325, 2.0, 1.0]","[622.0, 3000.0, 3000.0]","[44.70731826961107, 229.12880334719247, 454.35672824014364]","[0.0, 1.0, 1.0]","[0.0, 0.040626435103911035, 0.009468640335044043]"
2,"[10.0, 10.0, 2.1644655684330676, 0.0, 9.963726952196435, 3.0, 4.455077608652839, 0.4929844683802526, 1e-06, 1e-06, 9.876275609218887, 2.5512951353467406, 8.107959475878477, 10.0, 1.0, 10.0, 1.0]","[624.0, 3000.0, 3000.0]","[44.7131774567262, 255.44812938385542, 454.9241156494774]","[0.0, 1.0, 1.0]","[0.0, 0.02705383648871352, 0.011012066612720278]"
2,"[0.0, 10.0, 0.0, 10.0, 3.0, 3.0, 10.0, 0.9210942527378438, 0.7394138264654146, 1e-06, 1e-06, 2.3860147756589045, 9.615976606958746, 5.847129252803997, 9.959822036824495, 3.765873164380965, 2.092644287352949]","[2078.0, 3000.0, 3000.0]","[42.281909640501496, 150.65449176869993, 370.80620213854365]","[0.0, 0.4, 0.8]","[0.0, 2.1246663703537174, 1.9312249196642406]"
2,"[5.572249573346631, 1.0, 1.9771492297621527, 10.0, 7.4955328922195426, 5.631420419972666, 0.0, 10.0, 1e-06, 1e-06, 0.058035799707631064, 4.879273862619377, 6.860896229010452, 2.3894215032070827, 4.193454838260236, 2.3894215032070827, 3.5219754022867042]","[1596.0, 3000.0, 3000.0]","[41.09800913711263, 138.41461235155344, 367.2990649955645]","[0.0, 1.0, 1.0]","[0.0, 0.5684391773648115, 0.34023831188297726]"
2,"[7.837935965228638, 0.0, 0.0, 0.0, 10.0, 3.76287406001002, 3.870177715319546, 10.0, 0.6492281597836684, 1e-06, 6.202176140086107, 1.3384807838144124, 8.502918160566484, 4.353202073067355, 9.241613199161096, 2.0, 3.6139275742965395]","[794.0, 3000.0, 3000.0]","[42.707252100274935, 237.34717464478155, 456.8223553607489]","[0.0, 1.0, 1.0]","[0.0, 0.11490738580063795, 0.009567864956633657]"
2,"[0.0, 8.480117076502632, 10.0, 10.0, 3.0, 10.0, 4.520279600452276, 10.0, 0.32861662557639865, 1e-06, 1e-06, 10.0, 7.679761605803157, 7.445035836126365, 10.0, 7.445035836126365, 10.0]","[3000.0, 3000.0, 3000.0]","[75.91738594319864, 215.26232762487035, 443.98885230219975]","[0.0, 0.0, 0.8666666666666667]","[0.0, 1.9556119121912676, 1.4986952466752548]"
2,"[10.0, 10.0, 2.9874769287035505, 2.7924015360225902, 8.676164823660315, 3.0, 0.0, 0.0, 1e-06, 1e-06, 4.133969971246322, 3.838592831508275, 3.0, 2.0, 1.0, 2.0, 1.0]","[719.0, 3000.0, 3000.0]","[44.11629637798707, 187.19517884037396, 416.24509379580724]","[0.0, 1.0, 1.0]","[0.0, 0.21548121964332734, 0.07386921850747995]"
